Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Transactions_Found,Amount_Match_Count,Post_Snapshot_Count,Valid_Match_Count,Review Result,Refund Transaction ID,Refund Amount,Refund Processed By,Refund Processed Date,Refund Reason,Automated Completion
DH000075,PET000075,CL000113,2025-01-31,9.15,1,1,1,1,Confirmed Unique Match,RT000148,9.15,DH001,2025-02-17,Customer account correction,True
DH000076,PET000076,CL000085,2025-01-31,92.97,0,0,0,0,No Accounting Transaction,,,,,,False
DH000077,PET000077,CL000074,2025-01-31,249.36,0,0,0,0,No Accounting Transaction,,,,,,False
DH000078,PET000078,CL000092,2025-01-31,15.83,0,0,0,0,No Accounting Transaction,,,,,,False
DH000079,PET000079,CL000037,2025-01-31,35.52,0,0,0,0,No Accounting Transaction,,,,,,False
DH000080,PET000080,CL000151,2025-01-31,48.48,0,0,0,0,No Accounting Transaction,,,,,,False
DH000081,PET000081,CL000092,2025-01-31,49.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000082,PET000082,CL000156,2025-01-31,91.64,1,1,1,1,Confirmed Unique Match,RT000160,91.64,FIN002,2025-02-09,Premium collected after cancellation,True
DH000083,PET000083,CL000175,2025-01-31,81.42,0,0,0,0,No Accounting Transaction,,,,,,False
DH000084,PET000084,CL000107,2025-01-31,15.3,0,0,0,0,No Accounting Transaction,,,,,,False
DH000085,PET000085,CL000087,2025-01-31,73.42,0,0,0,0,No Accounting Transaction,,,,,,False
DH000086,PET000086,CL000004,2025-01-31,14.95,0,0,0,0,No Accounting Transaction,,,,,,False
DH000087,PET000087,CL000157,2025-01-31,12.54,0,0,0,0,No Accounting Transaction,,,,,,False
DH000088,PET000088,CL000061,2025-01-31,56.79,0,0,0,0,No Accounting Transaction,,,,,,False
DH000089,PET000089,CL000126,2025-01-31,96.95,1,1,1,1,Confirmed Unique Match,RT000307,96.95,DH002,2025-02-17,Premium collected after cancellation,True
DH000090,PET000090,CL000166,2025-01-31,25.93,0,0,0,0,No Accounting Transaction,,,,,,False
DH000091,PET000091,CL000086,2025-01-31,15.05,0,0,0,0,No Accounting Transaction,,,,,,False
DH000092,PET000092,CL000153,2025-01-31,8.65,0,0,0,0,No Accounting Transaction,,,,,,False
DH000093,PET000093,CL000061,2025-01-31,10.64,0,0,0,0,No Accounting Transaction,,,,,,False
DH000094,PET000094,CL000158,2025-01-31,7.94,0,0,0,0,No Accounting Transaction,,,,,,False
DH000095,PET000095,CL000114,2025-01-31,1.27,1,1,1,1,Confirmed Unique Match,RT000195,1.27,FIN002,2025-02-03,Refund due following policy review,True
DH000096,PET000096,CL000180,2025-01-31,6.72,0,0,0,0,No Accounting Transaction,,,,,,False
DH000097,PET000097,CL000025,2025-01-31,22.51,0,0,0,0,No Accounting Transaction,,,,,,False
DH000098,PET000098,CL000034,2025-01-31,33.46,1,1,1,1,Confirmed Unique Match,RT000438,33.46,FIN002,2025-02-05,Refund due following policy review,True
DH000099,PET000099,CL000074,2025-01-31,67.59,0,0,0,0,No Accounting Transaction,,,,,,False
DH000100,PET000100,CL000147,2025-01-31,27.17,0,0,0,0,No Accounting Transaction,,,,,,False
DH000101,PET000101,CL000070,2025-01-31,65.46,0,0,0,0,No Accounting Transaction,,,,,,False
DH000102,PET000102,CL000097,2025-01-31,23.64,0,0,0,0,No Accounting Transaction,,,,,,False
DH000103,PET000103,CL000021,2025-01-31,36.48,0,0,0,0,No Accounting Transaction,,,,,,False
DH000104,PET000104,CL000079,2025-01-31,4.26,1,1,1,1,Confirmed Unique Match,RT000243,4.26,DH001,2025-02-20,Customer account correction,True
DH000105,PET000105,CL000128,2025-01-31,58.79,0,0,0,0,No Accounting Transaction,,,,,,False
DH000106,PET000106,CL000081,2025-01-31,32.94,1,1,1,1,Confirmed Unique Match,RT000449,32.94,FIN001,2025-03-01,Refund due following policy review,True
DH000107,PET000107,CL000093,2025-01-31,8.52,0,0,0,0,No Accounting Transaction,,,,,,False
DH000108,PET000108,CL000163,2025-01-31,5.34,0,0,0,0,No Accounting Transaction,,,,,,False
DH000109,PET000109,CL000168,2025-01-31,9.54,0,0,0,0,No Accounting Transaction,,,,,,False
DH000110,PET000110,CL000083,2025-01-31,81.36,1,1,1,1,Confirmed Unique Match,RT000410,81.36,DH001,2025-02-03,Premium collected after cancellation,True
DH000111,PET000111,CL000010,2025-01-31,8.4,0,0,0,0,No Accounting Transaction,,,,,,False
DH000112,PET000112,CL000147,2025-01-31,66.08,0,0,0,0,No Accounting Transaction,,,,,,False
DH000113,PET000113,CL000182,2025-01-31,27.58,1,1,1,1,Confirmed Unique Match,RT000464,27.58,DH002,2025-02-07,Missed cancellation refund,True
DH000114,PET000114,CL000017,2025-01-31,32.32,0,0,0,0,No Accounting Transaction,,,,,,False
DH000115,PET000115,CL000179,2025-01-31,56.46,1,1,0,0,Refund Not After Snapshot,,,,,,False
DH000116,PET000116,CL000190,2025-01-31,282.49,0,0,0,0,No Accounting Transaction,,,,,,False
DH000117,PET000117,CL000036,2025-01-31,21.84,0,0,0,0,No Accounting Transaction,,,,,,False
DH000118,PET000118,CL000040,2025-01-31,43.26,0,0,0,0,No Accounting Transaction,,,,,,False
DH000119,PET000119,CL000193,2025-01-31,72.45,0,0,0,0,No Accounting Transaction,,,,,,False
DH000120,PET000120,CL000098,2025-01-31,26.75,0,0,0,0,No Accounting Transaction,,,,,,False
DH000121,PET000121,CL000133,2025-01-31,64.26,0,0,0,0,No Accounting Transaction,,,,,,False
DH000122,PET000122,CL000090,2025-01-31,182.99,0,0,0,0,No Accounting Transaction,,,,,,False
DH000123,PET000123,CL000038,2025-01-31,3.23,0,0,0,0,No Accounting Transaction,,,,,,False
DH000124,PET000124,CL000141,2025-01-31,221.78,0,0,0,0,No Accounting Transaction,,,,,,False
DH000125,PET000125,CL000128,2025-01-31,10.67,0,0,0,0,No Accounting Transaction,,,,,,False
DH000126,PET000126,CL000022,2025-01-31,24.43,1,1,1,1,Confirmed Unique Match,RT000256,24.43,DH001,2025-02-14,Missed cancellation refund,True
DH000127,PET000127,CL000005,2025-01-31,12.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000128,PET000128,CL000176,2025-01-31,37.82,0,0,0,0,No Accounting Transaction,,,,,,False
DH000129,PET000129,CL000080,2025-01-31,49.57,0,0,0,0,No Accounting Transaction,,,,,,False
DH000130,PET000130,CL000095,2025-01-31,26.01,0,0,0,0,No Accounting Transaction,,,,,,False
DH000131,PET000131,CL000022,2025-01-31,53.96,0,0,0,0,No Accounting Transaction,,,,,,False
DH000132,PET000132,CL000110,2025-01-31,27.76,0,0,0,0,No Accounting Transaction,,,,,,False
DH000133,PET000133,CL000094,2025-01-31,40.0,0,0,0,0,No Accounting Transaction,,,,,,False
DH000134,PET000134,CL000009,2025-01-31,83.96,0,0,0,0,No Accounting Transaction,,,,,,False
DH000135,PET000135,CL000064,2025-01-31,105.19,0,0,0,0,No Accounting Transaction,,,,,,False
DH000136,PET000136,CL000178,2025-01-31,198.25,1,1,1,1,Confirmed Unique Match,RT000325,198.25,FIN002,2025-02-19,Customer account correction,True
DH000137,PET000137,CL000171,2025-01-31,12.61,1,1,1,1,Confirmed Unique Match,RT000381,12.61,DH001,2025-02-03,Customer account correction,True
DH000138,PET000138,CL000007,2025-01-31,32.9,0,0,0,0,No Accounting Transaction,,,,,,False
DH000139,PET000139,CL000105,2025-01-31,53.7,0,0,0,0,No Accounting Transaction,,,,,,False
DH000140,PET000140,CL000164,2025-01-31,40.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000141,PET000141,CL000133,2025-01-31,92.3,0,0,0,0,No Accounting Transaction,,,,,,False
DH000142,PET000142,CL000149,2025-01-31,36.35,0,0,0,0,No Accounting Transaction,,,,,,False
DH000143,PET000143,CL000148,2025-01-31,18.44,1,1,1,1,Confirmed Unique Match,RT000063,18.44,DH002,2025-02-15,Missed cancellation refund,True
DH000144,PET000144,CL000063,2025-01-31,84.25,0,0,0,0,No Accounting Transaction,,,,,,False
DH000145,PET000145,CL000188,2025-01-31,169.08,0,0,0,0,No Accounting Transaction,,,,,,False
DH000146,PET000146,CL000099,2025-01-31,70.91,0,0,0,0,No Accounting Transaction,,,,,,False
DH000147,PET000147,CL000128,2025-01-31,9.48,0,0,0,0,No Accounting Transaction,,,,,,False
DH000148,PET000148,CL000138,2025-01-31,1.52,0,0,0,0,No Accounting Transaction,,,,,,False
DH000149,PET000149,CL000099,2025-01-31,40.58,0,0,0,0,No Accounting Transaction,,,,,,False
DH000150,PET000150,CL000094,2025-01-31,59.96,0,0,0,0,No Accounting Transaction,,,,,,False
DH000151,PET000151,CL000036,2025-01-31,34.53,1,1,1,1,Confirmed Unique Match,RT000318,34.53,FIN001,2025-02-04,Refund due following policy review,True
DH000152,PET000152,CL000005,2025-01-31,36.96,1,0,1,0,Amount Mismatch,,,,,,False
DH000153,PET000153,CL000149,2025-01-31,38.86,0,0,0,0,No Accounting Transaction,,,,,,False
DH000154,PET000154,CL000005,2025-01-31,26.76,1,1,1,1,Confirmed Unique Match,RT000349,26.76,DH001,2025-02-25,Refund due following policy review,True
DH000155,PET000155,CL000054,2025-01-31,49.92,0,0,0,0,No Accounting Transaction,,,,,,False
DH000156,PET000156,CL000068,2025-01-31,59.62,1,1,0,0,Refund Not After Snapshot,,,,,,False
DH000157,PET000157,CL000144,2025-01-31,259.08,0,0,0,0,No Accounting Transaction,,,,,,False
DH000158,PET000158,CL000074,2025-01-31,115.82,0,0,0,0,No Accounting Transaction,,,,,,False
DH000159,PET000159,CL000028,2025-01-31,79.35,0,0,0,0,No Accounting Transaction,,,,,,False
DH000160,PET000160,CL000002,2025-01-31,295.58,0,0,0,0,No Accounting Transaction,,,,,,False
DH000161,PET000161,CL000016,2025-01-31,117.9,0,0,0,0,No Accounting Transaction,,,,,,False
DH000162,PET000162,CL000010,2025-01-31,179.4,0,0,0,0,No Accounting Transaction,,,,,,False
DH000163,PET000163,CL000165,2025-01-31,29.76,0,0,0,0,No Accounting Transaction,,,,,,False
DH000164,PET000164,CL000048,2025-01-31,3.7,1,1,1,1,Confirmed Unique Match,RT000037,3.7,FIN002,2025-02-14,Customer account correction,True
DH000165,PET000165,CL000048,2025-01-31,195.5,0,0,0,0,No Accounting Transaction,,,,,,False
DH000166,PET000166,CL000067,2025-01-31,84.64,0,0,0,0,No Accounting Transaction,,,,,,False
DH000167,PET000167,CL000057,2025-01-31,15.35,0,0,0,0,No Accounting Transaction,,,,,,False
DH000168,PET000168,CL000175,2025-01-31,93.66,0,0,0,0,No Accounting Transaction,,,,,,False
DH000169,PET000169,CL000084,2025-01-31,72.1,0,0,0,0,No Accounting Transaction,,,,,,False
DH000170,PET000170,CL000107,2025-01-31,12.32,1,1,1,1,Confirmed Unique Match,RT000372,12.32,FIN001,2025-02-07,Premium collected after cancellation,True
DH000171,PET000171,CL000089,2025-01-31,77.06,0,0,0,0,No Accounting Transaction,,,,,,False
DH000172,PET000172,CL000108,2025-01-31,45.65,1,1,1,1,Confirmed Unique Match,RT000304,45.65,FIN002,2025-02-28,Customer account correction,True
DH000173,PET000173,CL000136,2025-01-31,9.8,0,0,0,0,No Accounting Transaction,,,,,,False
DH000174,PET000174,CL000064,2025-01-31,16.21,0,0,0,0,No Accounting Transaction,,,,,,False
DH000175,PET000175,CL000018,2025-01-31,0.82,1,1,1,1,Confirmed Unique Match,RT000340,0.82,FIN002,2025-02-28,Premium collected after cancellation,True
DH000176,PET000176,CL000199,2025-01-31,5.29,0,0,0,0,No Accounting Transaction,,,,,,False
DH000177,PET000177,CL000071,2025-01-31,9.51,1,1,1,1,Confirmed Unique Match,RT000197,9.51,DH002,2025-02-22,Refund due following policy review,True
DH000178,PET000178,CL000179,2025-01-31,15.98,0,0,0,0,No Accounting Transaction,,,,,,False
DH000179,PET000179,CL000106,2025-01-31,211.46,0,0,0,0,No Accounting Transaction,,,,,,False
DH000180,PET000180,CL000049,2025-01-31,4.08,1,1,1,1,Confirmed Unique Match,RT000177,4.08,FIN001,2025-02-18,Premium collected after cancellation,True
DH000181,PET000181,CL000054,2025-01-31,66.65,0,0,0,0,No Accounting Transaction,,,,,,False
DH000182,PET000182,CL000063,2025-01-31,85.19,0,0,0,0,No Accounting Transaction,,,,,,False
DH000183,PET000183,CL000120,2025-01-31,9.82,0,0,0,0,No Accounting Transaction,,,,,,False
DH000184,PET000184,CL000150,2025-01-31,26.71,0,0,0,0,No Accounting Transaction,,,,,,False
DH000185,PET000185,CL000186,2025-01-31,74.53,2,2,2,2,Multiple Valid Matches,,,,,,False
DH000186,PET000186,CL000020,2025-01-31,233.65,0,0,0,0,No Accounting Transaction,,,,,,False
DH000187,PET000187,CL000164,2025-01-31,80.83,0,0,0,0,No Accounting Transaction,,,,,,False
DH000188,PET000188,CL000179,2025-01-31,90.31,0,0,0,0,No Accounting Transaction,,,,,,False
DH000189,PET000189,CL000021,2025-01-31,26.25,0,0,0,0,No Accounting Transaction,,,,,,False
DH000190,PET000190,CL000195,2025-01-31,4.35,1,1,1,1,Confirmed Unique Match,RT000303,4.35,DH001,2025-02-16,Refund due following policy review,True
DH000191,PET000191,CL000025,2025-01-31,95.96,0,0,0,0,No Accounting Transaction,,,,,,False
DH000192,PET000192,CL000169,2025-01-31,9.32,0,0,0,0,No Accounting Transaction,,,,,,False
DH000193,PET000193,CL000100,2025-01-31,77.03,0,0,0,0,No Accounting Transaction,,,,,,False
DH000194,PET000194,CL000153,2025-01-31,40.94,0,0,0,0,No Accounting Transaction,,,,,,False
DH000195,PET000195,CL000022,2025-01-31,64.78,0,0,0,0,No Accounting Transaction,,,,,,False
DH000196,PET000196,CL000114,2025-02-28,20.8,1,1,1,1,Confirmed Unique Match,RT000162,20.8,FIN001,2025-03-23,Premium collected after cancellation,True
DH000197,PET000197,CL000099,2025-02-28,4.43,0,0,0,0,No Accounting Transaction,,,,,,False
DH000198,PET000198,CL000078,2025-02-28,15.85,1,1,1,1,Confirmed Unique Match,RT000073,15.85,DH002,2025-03-09,Customer account correction,True
DH000199,PET000199,CL000118,2025-02-28,3.39,0,0,0,0,No Accounting Transaction,,,,,,False
DH000200,PET000200,CL000167,2025-02-28,127.23,1,0,1,0,Amount Mismatch,,,,,,False
DH000201,PET000201,CL000126,2025-02-28,256.4,1,1,1,1,Confirmed Unique Match,RT000426,256.4,DH001,2025-03-29,Customer account correction,True
DH000202,PET000202,CL000197,2025-02-28,48.12,0,0,0,0,No Accounting Transaction,,,,,,False
DH000203,PET000203,CL000163,2025-02-28,20.11,0,0,0,0,No Accounting Transaction,,,,,,False
DH000204,PET000204,CL000108,2025-02-28,41.63,0,0,0,0,No Accounting Transaction,,,,,,False
DH000205,PET000205,CL000145,2025-02-28,235.5,0,0,0,0,No Accounting Transaction,,,,,,False
DH000206,PET000206,CL000148,2025-02-28,24.97,0,0,0,0,No Accounting Transaction,,,,,,False
DH000207,PET000207,CL000022,2025-02-28,9.44,0,0,0,0,No Accounting Transaction,,,,,,False
DH000208,PET000208,CL000012,2025-02-28,55.76,0,0,0,0,No Accounting Transaction,,,,,,False
DH000209,PET000209,CL000085,2025-02-28,48.34,0,0,0,0,No Accounting Transaction,,,,,,False
DH000210,PET000210,CL000002,2025-02-28,60.3,0,0,0,0,No Accounting Transaction,,,,,,False
DH000211,PET000211,CL000030,2025-02-28,44.51,0,0,0,0,No Accounting Transaction,,,,,,False
DH000212,PET000212,CL000173,2025-02-28,64.88,1,1,1,1,Confirmed Unique Match,RT000398,64.88,DH001,2025-03-02,Refund due following policy review,True
DH000213,PET000213,CL000108,2025-02-28,33.0,1,1,1,1,Confirmed Unique Match,RT000157,33.0,DH001,2025-03-23,Missed cancellation refund,True
DH000214,PET000214,CL000116,2025-02-28,93.28,1,1,1,1,Confirmed Unique Match,RT000486,93.28,DH001,2025-03-20,Customer account correction,True
DH000215,PET000215,CL000107,2025-02-28,72.2,0,0,0,0,No Accounting Transaction,,,,,,False
DH000216,PET000216,CL000198,2025-02-28,77.49,0,0,0,0,No Accounting Transaction,,,,,,False
DH000217,PET000217,CL000189,2025-02-28,87.57,0,0,0,0,No Accounting Transaction,,,,,,False
DH000218,PET000218,CL000151,2025-02-28,93.05,0,0,0,0,No Accounting Transaction,,,,,,False
DH000219,PET000219,CL000137,2025-02-28,31.56,2,2,2,2,Multiple Valid Matches,,,,,,False
DH000220,PET000220,CL000168,2025-02-28,8.73,1,1,1,1,Confirmed Unique Match,RT000500,8.73,DH002,2025-03-16,Customer account correction,True
DH000221,PET000221,CL000197,2025-02-28,5.4,0,0,0,0,No Accounting Transaction,,,,,,False
DH000222,PET000222,CL000118,2025-02-28,84.87,0,0,0,0,No Accounting Transaction,,,,,,False
DH000223,PET000223,CL000073,2025-02-28,33.12,1,1,1,1,Confirmed Unique Match,RT000336,33.12,FIN002,2025-03-24,Customer account correction,True
DH000224,PET000224,CL000041,2025-02-28,10.04,0,0,0,0,No Accounting Transaction,,,,,,False
DH000225,PET000225,CL000024,2025-02-28,62.53,0,0,0,0,No Accounting Transaction,,,,,,False
DH000226,PET000226,CL000025,2025-02-28,5.03,1,1,0,0,Refund Not After Snapshot,,,,,,False
DH000227,PET000227,CL000034,2025-02-28,19.17,0,0,0,0,No Accounting Transaction,,,,,,False
DH000228,PET000228,CL000037,2025-02-28,5.85,1,1,1,1,Confirmed Unique Match,RT000460,5.85,DH001,2025-03-13,Refund due following policy review,True
DH000229,PET000229,CL000056,2025-02-28,1.45,0,0,0,0,No Accounting Transaction,,,,,,False
DH000230,PET000230,CL000022,2025-02-28,34.04,0,0,0,0,No Accounting Transaction,,,,,,False
DH000231,PET000231,CL000131,2025-02-28,25.68,0,0,0,0,No Accounting Transaction,,,,,,False
DH000232,PET000232,CL000004,2025-02-28,286.79,0,0,0,0,No Accounting Transaction,,,,,,False
DH000233,PET000233,CL000018,2025-02-28,2.55,1,1,1,1,Confirmed Unique Match,RT000461,2.55,FIN001,2025-03-05,Customer account correction,True
DH000234,PET000234,CL000022,2025-02-28,76.89,0,0,0,0,No Accounting Transaction,,,,,,False
DH000235,PET000235,CL000196,2025-02-28,84.06,1,1,1,1,Confirmed Unique Match,RT000273,84.06,DH001,2025-03-01,Customer account correction,True
DH000236,PET000236,CL000171,2025-02-28,87.04,0,0,0,0,No Accounting Transaction,,,,,,False
DH000237,PET000237,CL000043,2025-02-28,39.99,0,0,0,0,No Accounting Transaction,,,,,,False
DH000238,PET000238,CL000161,2025-02-28,4.82,0,0,0,0,No Accounting Transaction,,,,,,False
DH000239,PET000239,CL000131,2025-02-28,8.66,0,0,0,0,No Accounting Transaction,,,,,,False
DH000240,PET000240,CL000168,2025-02-28,22.88,0,0,0,0,No Accounting Transaction,,,,,,False
DH000241,PET000241,CL000012,2025-02-28,113.79,1,1,1,1,Confirmed Unique Match,RT000018,113.79,DH001,2025-03-02,Premium collected after cancellation,True
DH000242,PET000242,CL000078,2025-02-28,62.14,0,0,0,0,No Accounting Transaction,,,,,,False
DH000243,PET000243,CL000178,2025-02-28,97.55,0,0,0,0,No Accounting Transaction,,,,,,False
DH000244,PET000244,CL000037,2025-02-28,54.66,0,0,0,0,No Accounting Transaction,,,,,,False
DH000245,PET000245,CL000025,2025-02-28,35.49,0,0,0,0,No Accounting Transaction,,,,,,False
DH000246,PET000246,CL000189,2025-02-28,28.12,0,0,0,0,No Accounting Transaction,,,,,,False
DH000247,PET000247,CL000198,2025-02-28,22.34,0,0,0,0,No Accounting Transaction,,,,,,False
