Refund Transaction ID,Policy Number,Client Number,Refund Amount,Refund Processed By,Refund Processed Date,Refund Reason
RT000040,PET001354,CL000084,18.67,FIN001,2025-10-01,Customer account correction
RT000041,PET000954,CL000162,58.53,DH001,2025-07-22,Refund due following policy review
RT000042,PET002071,CL000121,42.73,FIN002,2026-02-02,Customer account correction
RT000043,PET002339,CL000082,47.53,FIN001,2026-04-06,Premium collected after cancellation
RT000044,PET002557,CL000039,293.74,DH002,2026-05-06,Premium collected after cancellation
RT000045,PET001833,CL000171,126.99,DH001,2026-01-25,Refund due following policy review
RT000046,PET002179,CL000067,95.41,FIN002,2026-03-02,Missed cancellation refund
RT000047,PET002694,CL000163,30.74,DH002,2026-06-13,Missed cancellation refund
RT000048,PET001375,CL000030,27.88,FIN002,2025-10-18,Refund due following policy review
RT000049,PET001102,CL000017,46.37,FIN001,2025-08-16,Refund due following policy review
RT000050,PET002069,CL000039,11.24,FIN002,2026-02-21,Missed cancellation refund
RT000051,PET000876,CL000020,19.66,FIN002,2025-07-25,Refund due following policy review
RT000052,PET002492,CL000086,64.83,DH001,2026-05-12,Premium collected after cancellation
RT000053,PET001558,CL000137,28.16,DH002,2025-11-25,Refund due following policy review
RT000054,PET001092,CL000015,88.44,DH002,2025-08-10,Customer account correction
RT000055,PET000750,CL000123,296.59,DH002,2025-06-30,Missed cancellation refund
RT000056,PET002204,CL000160,17.0,DH001,2026-03-16,Customer account correction
RT000057,PET000413,CL000113,8.27,FIN001,2025-04-23,Premium collected after cancellation
RT000058,PET001614,CL000091,16.48,DH001,2025-12-27,Customer account correction
RT000059,PET001653,CL000199,66.44,FIN001,2025-12-24,Premium collected after cancellation
RT000060,PET001600,CL000146,26.74,FIN001,2025-11-26,Premium collected after cancellation
RT000061,PET001315,CL000056,47.72,FIN002,2025-10-17,Customer account correction
RT000062,PET001090,CL000050,38.85,FIN001,2025-08-02,Refund due following policy review
RT000063,PET000143,CL000148,18.44,DH002,2025-02-15,Missed cancellation refund
RT000064,PET000333,CL000098,36.43,FIN002,2025-03-06,Refund due following policy review
RT000065,PET000738,CL000013,47.86,DH002,2025-06-27,Customer account correction
RT000066,PET001692,CL000081,9.27,DH002,2025-12-08,Premium collected after cancellation
RT000067,PET001007,CL000186,47.31,FIN002,2025-08-07,Customer account correction
RT000068,PET000326,CL000130,31.73,DH002,2025-03-08,Refund due following policy review
RT000069,PET001592,CL000031,48.64,DH001,2025-11-20,Premium collected after cancellation
RT000070,PET001218,CL000189,5.63,DH002,2025-09-18,Missed cancellation refund
RT000071,PET000964,CL000151,8.91,FIN002,2025-07-29,Refund due following policy review
RT000072,PET002468,CL000075,38.15,DH001,2026-05-13,Missed cancellation refund
RT000073,PET000198,CL000078,15.85,DH002,2025-03-09,Customer account correction
RT000074,PET001210,CL000054,1.13,DH001,2025-09-02,Refund due following policy review
RT000075,PET001202,CL000106,21.99,FIN001,2025-09-01,Premium collected after cancellation
RT000076,PET000535,CL000052,24.07,DH002,2025-05-12,Missed cancellation refund
RT000077,PET002194,CL000122,26.8,DH002,2026-03-28,Refund due following policy review
RT000078,PET002531,CL000168,16.16,DH001,2026-05-16,Missed cancellation refund
RT000079,PET000534,CL000169,12.38,FIN001,2025-05-27,Premium collected after cancellation
RT000080,PET000644,CL000065,28.95,FIN001,2025-05-04,Customer account correction
RT000081,PET001672,CL000127,37.81,FIN002,2025-12-03,Customer account correction
RT000082,PET000757,CL000086,13.88,DH002,2025-06-26,Customer account correction
RT000083,PET001560,CL000054,236.99,DH001,2025-11-04,Customer account correction
RT000084,PET001870,CL000076,62.9,FIN002,2026-01-02,Refund due following policy review
RT000085,PET000441,CL000052,62.73,FIN001,2025-04-13,Missed cancellation refund
RT000086,PET000840,CL000028,62.04,FIN001,2025-07-28,Customer account correction
RT000087,PET000918,CL000162,24.29,DH001,2025-07-21,Customer account correction
RT000088,PET002465,CL000001,61.22,DH002,2026-05-03,Customer account correction
RT000089,PET001115,CL000051,74.77,FIN002,2025-08-26,Refund due following policy review
RT000090,PET002729,CL000053,16.48,FIN002,2026-07-26,Missed cancellation refund
RT000091,PET001896,CL000087,10.66,DH002,2026-01-25,Refund due following policy review
RT000092,PET001275,CL000029,25.79,FIN002,2025-09-28,Premium collected after cancellation
RT000093,PET001677,CL000060,80.26,FIN002,2025-12-08,Customer account correction
RT000094,PET002321,CL000035,13.03,DH002,2026-04-30,Premium collected after cancellation
RT000095,PET000033,CL000089,65.69,FIN002,2025-02-10,Premium collected after cancellation
RT000096,PET001161,CL000066,93.06,DH002,2025-09-25,Missed cancellation refund
RT000097,PET000069,CL000093,74.93,DH001,2025-02-18,Customer account correction
RT000098,PET001594,CL000065,58.92,FIN001,2025-11-24,Customer account correction
RT000099,PET002536,CL000187,60.35,FIN001,2026-05-19,Missed cancellation refund
RT000100,PET001817,CL000098,12.55,DH001,2026-01-20,Premium collected after cancellation
RT000101,PET002205,CL000055,43.52,FIN002,2026-03-19,Premium collected after cancellation
RT000102,PET000559,CL000125,52.78,DH001,2025-05-24,Premium collected after cancellation
RT000103,PET001911,CL000004,29.94,FIN002,2026-02-23,Customer account correction
RT000104,PET001758,CL000119,82.57,DH001,2026-01-05,Missed cancellation refund
RT000105,PET001549,CL000156,49.89,FIN002,2025-11-25,Premium collected after cancellation
RT000106,PET000946,CL000166,90.37,FIN002,2025-07-17,Missed cancellation refund
RT000107,PET002464,CL000176,79.41,FIN002,2026-05-10,Missed cancellation refund
RT000108,PET000702,CL000126,1.16,FIN001,2025-06-16,Customer account correction
RT000109,PET002596,CL000156,46.65,DH002,2026-06-30,Customer account correction
RT000110,PET000914,CL000019,65.75,FIN001,2025-07-26,Missed cancellation refund
RT000111,PET000473,CL000089,3.01,DH002,2025-05-26,Refund due following policy review
RT000112,PET002246,CL000086,71.94,FIN002,2026-03-14,Missed cancellation refund
RT000113,PET001742,CL000020,65.83,FIN001,2026-01-24,Missed cancellation refund
RT000114,PET002544,CL000119,5.18,DH002,2026-05-12,Premium collected after cancellation
RT000115,PET002405,CL000018,56.33,FIN001,2026-04-21,Missed cancellation refund
RT000116,PET002518,CL000081,33.72,FIN001,2026-05-20,Premium collected after cancellation
RT000117,PET002507,CL000173,34.68,DH001,2026-05-08,Customer account correction
RT000118,PET002129,CL000141,72.33,DH001,2026-03-08,Refund due following policy review
RT000119,PET001880,CL000165,2.26,DH001,2026-01-02,Refund due following policy review
RT000120,PET000513,CL000149,35.85,DH001,2025-05-05,Premium collected after cancellation
RT000121,PET000511,CL000074,115.4,DH002,2025-05-14,Missed cancellation refund
RT000122,PET002774,CL000146,232.58,FIN001,2026-07-15,Missed cancellation refund
RT000123,PET001844,CL000135,23.33,FIN001,2026-01-05,Premium collected after cancellation
RT000124,PET002760,CL000148,94.99,DH002,2026-07-13,Missed cancellation refund
RT000125,PET000601,CL000173,68.02,FIN002,2025-05-19,Customer account correction
RT000126,PET001951,CL000056,293.75,FIN001,2026-02-07,Customer account correction
RT000127,PET001479,CL000192,87.2,DH001,2025-11-11,Customer account correction
RT000128,PET000831,CL000018,43.2,FIN002,2025-07-12,Refund due following policy review
RT000129,PET000679,CL000030,56.83,FIN001,2025-06-16,Refund due following policy review
RT000130,PET000680,CL000072,58.54,FIN001,2025-06-11,Refund due following policy review
RT000131,PET000031,CL000090,41.82,FIN001,2025-02-23,Premium collected after cancellation
RT000132,PET000681,CL000046,11.39,FIN001,2025-06-10,Refund due following policy review
RT000133,PET001788,CL000044,62.29,DH001,2026-01-14,Customer account correction
RT000134,PET001409,CL000004,8.31,FIN001,2025-10-12,Customer account correction
RT000135,PET002139,CL000018,41.5,FIN002,2026-03-06,Refund due following policy review
RT000136,PET002330,CL000058,31.36,DH002,2026-04-21,Missed cancellation refund
RT000137,PET001718,CL000137,47.61,FIN001,2025-12-08,Refund due following policy review
RT000138,PET002856,CL000070,79.03,DH001,2026-07-09,Premium collected after cancellation
RT000139,PET000932,CL000190,116.3,DH002,2025-07-24,Refund due following policy review
RT000140,PET001016,CL000138,33.0,DH002,2025-08-29,Refund due following policy review
RT000141,PET001291,CL000076,44.62,FIN002,2025-09-21,Customer account correction
RT000142,PET000844,CL000044,67.39,DH001,2025-07-28,Premium collected after cancellation
RT000143,PET002767,CL000002,25.68,DH002,2026-07-26,Customer account correction
RT000144,PET000819,CL000054,29.65,DH002,2025-07-15,Customer account correction
RT000145,PET001387,CL000039,64.11,FIN002,2025-10-24,Premium collected after cancellation
RT000146,PET002812,CL000193,61.7,FIN002,2026-07-10,Premium collected after cancellation
RT000147,PET001973,CL000026,31.54,DH001,2026-02-14,Refund due following policy review
RT000148,PET000075,CL000113,9.15,DH001,2025-02-17,Customer account correction
RT000149,PET001294,CL000056,40.6,FIN002,2025-09-29,Refund due following policy review
RT000150,PET001661,CL000062,54.0,DH001,2025-12-26,Customer account correction
RT000151,PET000065,CL000127,33.93,FIN002,2025-02-15,Premium collected after cancellation
RT000152,PET001728,CL000128,7.28,DH002,2025-12-20,Refund due following policy review
RT000153,PET001478,CL000016,5.96,FIN002,2025-11-07,Premium collected after cancellation
RT000154,PET002181,CL000170,32.52,DH002,2026-03-25,Customer account correction
RT000155,PET000046,CL000110,4.89,DH002,2025-02-17,Premium collected after cancellation
RT000156,PET001999,CL000105,12.37,FIN001,2026-02-16,Refund due following policy review
RT000157,PET000213,CL000108,33.0,DH001,2025-03-23,Missed cancellation refund
RT000158,PET001797,CL000072,90.44,FIN001,2026-01-19,Customer account correction
RT000159,PET001340,CL000009,238.36,FIN001,2025-10-03,Premium collected after cancellation
RT000160,PET000082,CL000156,91.64,FIN002,2025-02-09,Premium collected after cancellation
RT000161,PET000944,CL000050,3.45,FIN002,2025-07-06,Refund due following policy review
RT000162,PET000196,CL000114,20.8,FIN001,2025-03-23,Premium collected after cancellation
RT000163,PET000809,CL000026,261.19,DH002,2025-07-02,Customer account correction
RT000164,PET001985,CL000104,299.85,DH002,2026-02-07,Refund due following policy review
RT000165,PET001490,CL000095,163.03,DH002,2025-11-18,Refund due following policy review
RT000166,PET001093,CL000176,72.49,FIN002,2025-08-21,Missed cancellation refund
RT000167,PET001077,CL000137,40.28,DH002,2025-08-16,Missed cancellation refund
RT000168,PET001401,CL000199,26.11,DH001,2025-10-26,Premium collected after cancellation
RT000169,PET000520,CL000197,10.91,DH002,2025-05-28,Customer account correction
RT000170,PET001626,CL000131,34.33,DH001,2025-12-04,Customer account correction
RT000171,PET001427,CL000198,38.01,DH001,2025-10-29,Refund due following policy review
RT000172,PET002235,CL000085,36.44,DH001,2026-03-19,Refund due following policy review
RT000173,PET002233,CL000113,2.77,FIN002,2026-03-20,Premium collected after cancellation
RT000174,PET002366,CL000127,28.34,FIN001,2026-04-03,Missed cancellation refund
RT000175,PET001874,CL000104,2.37,FIN001,2026-01-19,Missed cancellation refund
RT000176,PET000693,CL000109,19.97,DH002,2025-06-22,Premium collected after cancellation
RT000177,PET000180,CL000049,4.08,FIN001,2025-02-18,Premium collected after cancellation
RT000178,PET000600,CL000089,30.31,DH001,2025-05-03,Missed cancellation refund
RT000179,PET002707,CL000008,35.71,FIN002,2026-06-16,Premium collected after cancellation
RT000180,PET000842,CL000049,33.77,FIN001,2025-07-29,Missed cancellation refund
RT000181,PET001639,CL000060,22.51,FIN002,2025-12-22,Refund due following policy review
RT000182,PET000905,CL000034,31.18,DH001,2025-07-05,Customer account correction
RT000183,PET001793,CL000183,102.07,DH002,2026-01-29,Refund due following policy review
RT000184,PET000045,CL000104,92.03,FIN001,2025-03-01,Premium collected after cancellation
RT000185,PET000300,CL000001,1.35,DH002,2025-03-06,Premium collected after cancellation
RT000186,PET000324,CL000031,27.15,DH002,2025-03-25,Premium collected after cancellation
RT000187,PET002601,CL000052,23.92,DH001,2026-06-13,Missed cancellation refund
RT000188,PET001191,CL000104,22.58,DH002,2025-09-18,Refund due following policy review
RT000189,PET002807,CL000109,11.58,DH001,2026-07-14,Refund due following policy review
RT000190,PET002314,CL000133,43.06,DH002,2026-04-24,Missed cancellation refund
RT000191,PET001752,CL000187,46.83,FIN001,2026-01-30,Premium collected after cancellation
RT000192,PET001135,CL000083,23.07,FIN001,2025-08-24,Premium collected after cancellation
RT000193,PET001509,CL000151,78.45,FIN001,2025-11-28,Missed cancellation refund
RT000194,PET001095,CL000037,4.4,DH002,2025-08-29,Refund due following policy review
RT000195,PET000095,CL000114,1.27,FIN002,2025-02-03,Refund due following policy review
RT000196,PET001126,CL000145,112.63,DH001,2025-08-08,Refund due following policy review
RT000197,PET000177,CL000071,9.51,DH002,2025-02-22,Refund due following policy review
RT000198,PET001439,CL000021,38.37,DH001,2025-10-18,Customer account correction
RT000199,PET001553,CL000170,7.95,DH002,2025-11-02,Customer account correction
RT000200,PET001049,CL000125,29.8,FIN002,2025-08-03,Refund due following policy review
RT000201,PET002820,CL000026,4.4,DH002,2026-07-16,Customer account correction
RT000202,PET002449,CL000010,48.21,FIN002,2026-05-19,Premium collected after cancellation
RT000203,PET002562,CL000091,34.53,DH002,2026-06-06,Customer account correction
RT000204,PET002035,CL000095,1.87,FIN001,2026-02-06,Customer account correction
RT000205,PET000847,CL000059,16.7,DH002,2025-07-04,Refund due following policy review
RT000206,PET001108,CL000007,46.23,DH002,2025-08-17,Customer account correction
RT000207,PET000410,CL000111,25.78,FIN002,2025-04-01,Refund due following policy review
RT000208,PET001099,CL000133,47.73,FIN002,2025-08-18,Refund due following policy review
RT000209,PET000569,CL000081,14.44,DH002,2025-05-15,Premium collected after cancellation
RT000210,PET002804,CL000030,11.03,FIN002,2026-07-14,Customer account correction
RT000211,PET001425,CL000043,48.25,DH002,2025-10-21,Refund due following policy review
RT000212,PET000356,CL000143,24.81,FIN001,2025-04-16,Customer account correction
RT000213,PET002371,CL000068,5.41,FIN002,2026-04-22,Premium collected after cancellation
RT000214,PET001809,CL000148,88.81,DH002,2026-01-23,Customer account correction
RT000215,PET002188,CL000182,24.02,FIN001,2026-03-28,Missed cancellation refund
RT000216,PET001723,CL000065,87.56,DH002,2025-12-24,Missed cancellation refund
RT000217,PET000767,CL000169,255.64,DH001,2025-06-16,Refund due following policy review
RT000218,PET002022,CL000125,1.09,DH001,2026-02-15,Refund due following policy review
RT000219,PET002127,CL000015,22.66,DH002,2026-03-08,Customer account correction
RT000220,PET000537,CL000055,270.26,FIN002,2025-05-18,Premium collected after cancellation
RT000221,PET002125,CL000036,37.3,DH001,2026-03-05,Refund due following policy review
RT000222,PET000412,CL000029,71.18,DH002,2025-04-28,Refund due following policy review
RT000223,PET000978,CL000114,44.18,FIN001,2025-08-26,Customer account correction
RT000224,PET000695,CL000142,62.87,DH001,2025-06-04,Refund due following policy review
RT000225,PET000583,CL000007,49.25,FIN001,2025-05-24,Premium collected after cancellation
RT000226,PET002608,CL000126,85.79,DH002,2026-06-04,Customer account correction
RT000227,PET000311,CL000058,66.61,FIN002,2025-03-22,Missed cancellation refund
RT000228,PET000416,CL000003,6.77,FIN001,2025-04-03,Customer account correction
RT000229,PET000459,CL000198,66.38,FIN001,2025-04-15,Missed cancellation refund
RT000230,PET001238,CL000024,25.52,DH001,2025-09-20,Premium collected after cancellation
RT000231,PET000072,CL000198,70.75,DH002,2025-02-22,Customer account correction
RT000232,PET001060,CL000063,271.51,FIN002,2025-08-13,Refund due following policy review
RT000233,PET000607,CL000197,8.43,DH001,2025-05-28,Customer account correction
RT000234,PET002561,CL000177,42.42,FIN002,2026-06-24,Refund due following policy review
RT000235,PET000422,CL000041,32.3,DH002,2025-04-07,Refund due following policy review
RT000236,PET000058,CL000182,20.98,FIN001,2025-02-21,Premium collected after cancellation
RT000237,PET002086,CL000112,43.23,FIN001,2026-02-22,Missed cancellation refund
RT000238,PET001618,CL000188,169.87,DH002,2025-12-11,Missed cancellation refund
RT000239,PET001420,CL000157,20.63,DH002,2025-10-23,Premium collected after cancellation
RT000240,PET001189,CL000021,27.77,FIN001,2025-09-27,Missed cancellation refund
RT000241,PET002842,CL000071,7.68,DH001,2026-07-25,Refund due following policy review
RT000242,PET002470,CL000141,152.18,FIN001,2026-05-23,Customer account correction
RT000243,PET000104,CL000079,4.26,DH001,2025-02-20,Customer account correction
RT000244,PET000404,CL000073,30.71,FIN001,2025-04-09,Premium collected after cancellation
RT000245,PET000452,CL000101,33.85,FIN001,2025-04-24,Customer account correction
RT000246,PET000604,CL000012,77.86,DH001,2025-05-11,Customer account correction
RT000247,PET000960,CL000051,213.6,FIN002,2025-07-16,Customer account correction
RT000248,PET001262,CL000088,2.34,DH002,2025-09-10,Premium collected after cancellation
RT000249,PET002349,CL000101,19.23,FIN002,2026-04-10,Premium collected after cancellation
RT000250,PET002399,CL000170,7.11,DH001,2026-04-05,Customer account correction
RT000251,PET000811,CL000090,282.81,DH001,2025-07-29,Missed cancellation refund
RT000252,PET001073,CL000039,72.26,DH002,2025-08-05,Premium collected after cancellation
RT000253,PET000389,CL000004,7.8,DH001,2025-04-03,Missed cancellation refund
RT000254,PET001454,CL000196,53.06,DH002,2025-10-29,Customer account correction
RT000255,PET001000,CL000188,53.19,FIN001,2025-08-17,Refund due following policy review
RT000256,PET000126,CL000022,24.43,DH001,2025-02-14,Missed cancellation refund
RT000257,PET001674,CL000192,56.8,FIN001,2025-12-23,Missed cancellation refund
RT000258,PET001967,CL000177,25.35,DH001,2026-02-12,Refund due following policy review
RT000259,PET002655,CL000022,48.19,DH001,2026-06-04,Refund due following policy review
RT000260,PET002758,CL000018,82.63,FIN001,2026-07-22,Customer account correction
RT000261,PET002590,CL000009,27.84,FIN002,2026-06-06,Premium collected after cancellation
RT000262,PET002714,CL000148,39.07,DH001,2026-06-17,Customer account correction
RT000263,PET001617,CL000028,1.21,DH002,2025-12-29,Premium collected after cancellation
RT000264,PET002097,CL000084,41.28,FIN002,2026-03-01,Customer account correction
RT000265,PET001611,CL000157,34.52,FIN002,2025-12-11,Missed cancellation refund
RT000266,PET001002,CL000029,72.14,FIN001,2025-08-24,Missed cancellation refund
RT000267,PET001130,CL000200,2.84,DH002,2025-08-19,Missed cancellation refund
RT000268,PET000509,CL000129,63.86,DH002,2025-05-15,Premium collected after cancellation
RT000269,PET002316,CL000011,29.51,FIN001,2026-04-05,Customer account correction
RT000270,PET000556,CL000119,1.93,FIN001,2025-05-12,Missed cancellation refund
RT000271,PET001376,CL000153,31.08,DH002,2025-10-20,Premium collected after cancellation
RT000272,PET000774,CL000058,4.56,DH001,2025-06-30,Missed cancellation refund
RT000273,PET000235,CL000196,84.06,DH001,2025-03-01,Customer account correction
RT000274,PET000320,CL000042,236.68,FIN002,2025-03-22,Refund due following policy review
RT000275,PET000488,CL000060,107.39,DH002,2025-05-26,Customer account correction
RT000276,PET000465,CL000109,72.73,DH002,2025-04-29,Refund due following policy review
RT000277,PET002114,CL000185,87.36,DH002,2026-03-13,Refund due following policy review
RT000278,PET002657,CL000071,96.64,FIN002,2026-06-04,Customer account correction
RT000279,PET001070,CL000059,35.89,DH001,2025-08-09,Missed cancellation refund
RT000280,PET001568,CL000064,23.22,DH001,2025-11-26,Customer account correction
RT000281,PET000323,CL000194,39.54,DH002,2025-03-27,Refund due following policy review
RT000282,PET002609,CL000197,12.29,DH002,2026-06-20,Refund due following policy review
RT000283,PET002811,CL000089,12.6,FIN001,2026-07-04,Premium collected after cancellation
RT000284,PET000761,CL000018,30.96,DH002,2025-06-04,Customer account correction
RT000285,PET001705,CL000063,116.51,DH002,2025-12-15,Premium collected after cancellation
RT000286,PET002721,CL000126,3.63,FIN002,2026-06-18,Missed cancellation refund
RT000287,PET001790,CL000073,50.95,DH001,2026-01-01,Customer account correction
RT000288,PET001295,CL000154,28.66,FIN001,2025-09-21,Missed cancellation refund
RT000289,PET000566,CL000194,18.42,FIN001,2025-05-17,Missed cancellation refund
RT000290,PET001733,CL000143,44.69,DH002,2025-12-01,Refund due following policy review
RT000291,PET001378,CL000010,63.27,FIN002,2025-10-03,Missed cancellation refund
RT000292,PET001622,CL000095,91.1,DH002,2025-12-14,Customer account correction
RT000293,PET002156,CL000070,6.2,FIN002,2026-03-22,Premium collected after cancellation
RT000294,PET000800,CL000122,4.82,DH002,2025-06-25,Missed cancellation refund
RT000295,PET001232,CL000059,9.54,FIN001,2025-09-13,Customer account correction
RT000296,PET000030,CL000106,93.2,FIN001,2025-02-09,Refund due following policy review
RT000297,PET001869,CL000148,59.34,FIN002,2026-01-30,Premium collected after cancellation
RT000298,PET000864,CL000044,37.99,DH002,2025-07-14,Refund due following policy review
RT000299,PET002353,CL000073,70.89,DH002,2026-04-10,Refund due following policy review
RT000300,PET002673,CL000030,11.11,DH001,2026-06-14,Missed cancellation refund
RT000301,PET002675,CL000099,95.37,DH002,2026-06-01,Customer account correction
RT000302,PET001046,CL000194,168.28,FIN002,2025-08-10,Premium collected after cancellation
RT000303,PET000190,CL000195,4.35,DH001,2025-02-16,Refund due following policy review
RT000304,PET000172,CL000108,45.65,FIN002,2025-02-28,Customer account correction
RT000305,PET000508,CL000053,3.68,FIN001,2025-05-23,Refund due following policy review
RT000306,PET000044,CL000091,25.61,DH001,2025-02-24,Refund due following policy review
RT000307,PET000089,CL000126,96.95,DH002,2025-02-17,Premium collected after cancellation
RT000308,PET000570,CL000123,56.68,FIN001,2025-05-04,Missed cancellation refund
RT000309,PET000731,CL000169,3.36,DH002,2025-06-12,Premium collected after cancellation
RT000310,PET000284,CL000002,36.5,DH001,2025-03-30,Customer account correction
RT000311,PET000861,CL000035,37.03,FIN001,2025-07-02,Refund due following policy review
RT000312,PET001438,CL000048,1.95,FIN001,2025-10-27,Premium collected after cancellation
RT000313,PET002013,CL000102,22.06,DH001,2026-02-21,Customer account correction
RT000314,PET002431,CL000141,28.25,DH002,2026-05-09,Customer account correction
RT000315,PET001241,CL000200,40.84,DH001,2025-09-24,Customer account correction
RT000316,PET001112,CL000196,1.21,FIN001,2025-08-26,Premium collected after cancellation
RT000317,PET002348,CL000196,223.3,FIN001,2026-04-02,Refund due following policy review
RT000318,PET000151,CL000036,34.53,FIN001,2025-02-04,Refund due following policy review
RT000319,PET002304,CL000197,94.16,FIN002,2026-04-20,Premium collected after cancellation
RT000320,PET000744,CL000135,134.97,FIN002,2025-06-30,Premium collected after cancellation
RT000321,PET000432,CL000097,11.77,DH002,2025-04-01,Missed cancellation refund
RT000322,PET001325,CL000015,72.46,DH001,2025-10-20,Premium collected after cancellation
RT000323,PET002748,CL000047,34.82,FIN001,2026-07-05,Refund due following policy review
RT000324,PET001059,CL000011,16.21,FIN002,2025-08-20,Customer account correction
RT000325,PET000136,CL000178,198.25,FIN002,2025-02-19,Customer account correction
RT000326,PET000567,CL000126,26.52,DH001,2025-05-03,Missed cancellation refund
RT000327,PET002364,CL000141,16.16,DH001,2026-04-21,Refund due following policy review
RT000328,PET001959,CL000014,12.18,DH001,2026-02-27,Missed cancellation refund
RT000329,PET001513,CL000072,86.56,DH001,2025-11-26,Refund due following policy review
RT000330,PET000425,CL000183,59.21,FIN001,2025-04-01,Premium collected after cancellation
RT000331,PET001740,CL000002,10.4,FIN001,2026-01-08,Premium collected after cancellation
RT000332,PET002678,CL000193,68.1,DH002,2026-06-08,Refund due following policy review
RT000333,PET001590,CL000017,22.67,DH002,2025-11-14,Premium collected after cancellation
RT000334,PET000766,CL000157,49.41,FIN002,2025-06-05,Customer account correction
RT000335,PET002482,CL000099,84.03,DH002,2026-05-26,Refund due following policy review
RT000336,PET000223,CL000073,33.12,FIN002,2025-03-24,Customer account correction
RT000337,PET001750,CL000145,20.39,FIN002,2026-01-25,Refund due following policy review
RT000338,PET001096,CL000107,28.1,DH002,2025-08-06,Premium collected after cancellation
RT000339,PET001297,CL000129,88.95,DH001,2025-10-01,Customer account correction
RT000340,PET000175,CL000018,0.82,FIN002,2025-02-28,Premium collected after cancellation
RT000341,PET001928,CL000131,92.48,FIN001,2026-02-09,Refund due following policy review
RT000342,PET000709,CL000001,291.51,DH002,2025-06-20,Missed cancellation refund
RT000343,PET001001,CL000014,35.36,FIN001,2025-08-28,Missed cancellation refund
RT000344,PET001620,CL000069,13.01,FIN001,2025-12-02,Refund due following policy review
RT000345,PET001455,CL000065,11.47,FIN002,2025-10-01,Missed cancellation refund
RT000346,PET002229,CL000131,45.2,DH002,2026-03-01,Customer account correction
RT000347,PET000792,CL000056,82.71,FIN002,2025-06-05,Customer account correction
RT000348,PET000316,CL000108,283.18,FIN002,2025-03-02,Refund due following policy review
RT000349,PET000154,CL000005,26.76,DH001,2025-02-25,Refund due following policy review
RT000350,PET000891,CL000120,96.23,DH001,2025-07-19,Refund due following policy review
