Case ID,Policy Number,Client Number,Outstanding Amount,Cancellation Status,Date Added,Reporting Date,Case Status,Completion Date,Completed By,Final Outcome,Case Age Days
DH000050,PET000050,CL000051,7.06,Void,2025-02-15,2025-02-21,Open,,,,6
DH000051,PET000051,CL000011,27.14,Void,2025-02-15,2025-02-21,Open,,,,6
DH000052,PET000052,CL000118,71.78,Void,2025-02-15,2025-02-21,Open,,,,6
DH000053,PET000053,CL000023,28.04,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000054,PET000054,CL000067,45.21,Void,2025-02-15,2025-02-21,Open,,,,6
DH000055,PET000055,CL000166,72.41,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000056,PET000056,CL000191,24.08,Void,2025-02-15,2025-02-21,Open,,,,6
DH000057,PET000057,CL000190,38.99,Void,2025-02-15,2025-02-21,Open,,,,6
DH000058,PET000058,CL000182,20.98,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000059,PET000059,CL000073,27.62,Void,2025-02-15,2025-02-21,Open,,,,6
DH000060,PET000060,CL000014,42.45,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000061,PET000061,CL000199,28.03,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000062,PET000062,CL000055,13.26,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000063,PET000063,CL000073,72.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000064,PET000064,CL000019,8.03,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000065,PET000065,CL000127,33.93,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000066,PET000066,CL000006,234.46,Void,2025-02-15,2025-02-21,Open,,,,6
DH000067,PET000067,CL000126,194.01,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000068,PET000068,CL000010,22.59,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000069,PET000069,CL000093,74.93,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000070,PET000070,CL000062,65.54,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000071,PET000071,CL000131,70.78,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000072,PET000072,CL000198,70.75,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000073,PET000073,CL000039,29.38,Void,2025-02-15,2025-02-21,Open,,,,6
DH000074,PET000074,CL000199,22.73,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000075,PET000075,CL000113,9.15,Void,2025-02-15,2025-02-21,Open,,,,6
DH000076,PET000076,CL000085,92.97,Void,2025-02-15,2025-02-21,Open,,,,6
DH000077,PET000077,CL000074,249.36,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000078,PET000078,CL000092,15.83,Void,2025-02-15,2025-02-21,Open,,,,6
DH000079,PET000079,CL000037,35.52,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000080,PET000080,CL000151,48.48,Void,2025-02-15,2025-02-21,Open,,,,6
DH000081,PET000081,CL000092,49.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000082,PET000082,CL000156,91.64,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000083,PET000083,CL000175,81.42,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000084,PET000084,CL000107,15.3,Void,2025-02-15,2025-02-21,Open,,,,6
DH000085,PET000085,CL000087,73.42,Void,2025-02-15,2025-02-21,Open,,,,6
DH000086,PET000086,CL000004,14.95,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000087,PET000087,CL000157,12.54,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000088,PET000088,CL000061,56.79,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000089,PET000089,CL000126,96.95,Void,2025-02-15,2025-02-21,Open,,,,6
DH000090,PET000090,CL000166,25.93,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000091,PET000091,CL000086,15.05,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000092,PET000092,CL000153,8.65,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000093,PET000093,CL000061,10.64,Void,2025-02-15,2025-02-21,Open,,,,6
DH000094,PET000094,CL000158,7.94,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000095,PET000095,CL000114,1.27,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000096,PET000096,CL000180,6.72,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000097,PET000097,CL000025,22.51,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000098,PET000098,CL000034,33.46,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000099,PET000099,CL000074,67.59,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000100,PET000100,CL000147,27.17,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000101,PET000101,CL000070,65.46,Void,2025-02-15,2025-02-21,Open,,,,6
DH000102,PET000102,CL000097,23.64,Void,2025-02-15,2025-02-21,Open,,,,6
DH000103,PET000103,CL000021,36.48,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000104,PET000104,CL000079,4.26,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000105,PET000105,CL000128,58.79,Void,2025-02-15,2025-02-21,Open,,,,6
DH000106,PET000106,CL000081,32.94,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000107,PET000107,CL000093,8.52,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000108,PET000108,CL000163,5.34,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000109,PET000109,CL000168,9.54,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000110,PET000110,CL000083,81.36,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000111,PET000111,CL000010,8.4,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000112,PET000112,CL000147,66.08,Void,2025-02-15,2025-02-21,Open,,,,6
DH000113,PET000113,CL000182,27.58,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000114,PET000114,CL000017,32.32,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000115,PET000115,CL000179,56.46,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000116,PET000116,CL000190,282.49,Void,2025-02-15,2025-02-21,Open,,,,6
DH000117,PET000117,CL000036,21.84,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000118,PET000118,CL000040,43.26,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000119,PET000119,CL000193,72.45,Void,2025-02-15,2025-02-21,Open,,,,6
DH000120,PET000120,CL000098,26.75,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000121,PET000121,CL000133,64.26,Void,2025-02-15,2025-02-21,Open,,,,6
DH000122,PET000122,CL000090,182.99,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000123,PET000123,CL000038,3.23,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000124,PET000124,CL000141,221.78,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000125,PET000125,CL000128,10.67,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000126,PET000126,CL000022,24.43,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000127,PET000127,CL000005,12.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000128,PET000128,CL000176,37.82,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000129,PET000129,CL000080,49.57,Void,2025-02-15,2025-02-21,Open,,,,6
DH000130,PET000130,CL000095,26.01,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000131,PET000131,CL000022,53.96,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000132,PET000132,CL000110,27.76,Void,2025-02-15,2025-02-21,Open,,,,6
DH000133,PET000133,CL000094,40.0,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000134,PET000134,CL000009,83.96,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000135,PET000135,CL000064,105.19,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000136,PET000136,CL000178,198.25,Void,2025-02-15,2025-02-21,Open,,,,6
DH000137,PET000137,CL000171,12.61,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000138,PET000138,CL000007,32.9,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000139,PET000139,CL000105,53.7,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000140,PET000140,CL000164,40.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000141,PET000141,CL000133,92.3,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000142,PET000142,CL000149,36.35,Void,2025-02-15,2025-02-21,Open,,,,6
DH000143,PET000143,CL000148,18.44,Void,2025-02-15,2025-02-21,Open,,,,6
DH000144,PET000144,CL000063,84.25,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000145,PET000145,CL000188,169.08,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000146,PET000146,CL000099,70.91,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000147,PET000147,CL000128,9.48,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000148,PET000148,CL000138,1.52,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000149,PET000149,CL000099,40.58,Void,2025-02-15,2025-02-21,Open,,,,6
DH000150,PET000150,CL000094,59.96,Void,2025-02-15,2025-02-21,Open,,,,6
DH000151,PET000151,CL000036,34.53,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000152,PET000152,CL000005,36.96,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000153,PET000153,CL000149,38.86,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000154,PET000154,CL000005,26.76,Void,2025-02-15,2025-02-21,Open,,,,6
DH000155,PET000155,CL000054,49.92,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000156,PET000156,CL000068,59.62,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000157,PET000157,CL000144,259.08,Void,2025-02-15,2025-02-21,Open,,,,6
DH000158,PET000158,CL000074,115.82,Void,2025-02-15,2025-02-21,Open,,,,6
DH000159,PET000159,CL000028,79.35,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000160,PET000160,CL000002,295.58,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000161,PET000161,CL000016,117.9,Void,2025-02-15,2025-02-21,Open,,,,6
DH000162,PET000162,CL000010,179.4,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000163,PET000163,CL000165,29.76,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000164,PET000164,CL000048,3.7,Void,2025-02-15,2025-02-21,Open,,,,6
DH000165,PET000165,CL000048,195.5,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000166,PET000166,CL000067,84.64,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000167,PET000167,CL000057,15.35,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000168,PET000168,CL000175,93.66,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000169,PET000169,CL000084,72.1,Void,2025-02-15,2025-02-21,Open,,,,6
DH000170,PET000170,CL000107,12.32,Void,2025-02-15,2025-02-21,Open,,,,6
DH000171,PET000171,CL000089,77.06,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000172,PET000172,CL000108,45.65,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000173,PET000173,CL000136,9.8,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000174,PET000174,CL000064,16.21,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000175,PET000175,CL000018,0.82,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000176,PET000176,CL000199,5.29,Void,2025-02-15,2025-02-21,Open,,,,6
DH000177,PET000177,CL000071,9.51,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000178,PET000178,CL000179,15.98,Void,2025-02-15,2025-02-21,Open,,,,6
DH000179,PET000179,CL000106,211.46,Void,2025-02-15,2025-02-21,Open,,,,6
DH000180,PET000180,CL000049,4.08,Void,2025-02-15,2025-02-21,Open,,,,6
DH000181,PET000181,CL000054,66.65,Void,2025-02-15,2025-02-21,Open,,,,6
DH000182,PET000182,CL000063,85.19,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000183,PET000183,CL000120,9.82,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000184,PET000184,CL000150,26.71,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000185,PET000185,CL000186,74.53,Void,2025-02-15,2025-02-21,Open,,,,6
DH000186,PET000186,CL000020,233.65,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000187,PET000187,CL000164,80.83,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000188,PET000188,CL000179,90.31,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000189,PET000189,CL000021,26.25,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000190,PET000190,CL000195,4.35,Void,2025-02-15,2025-02-21,Open,,,,6
DH000191,PET000191,CL000025,95.96,Void,2025-02-15,2025-02-21,Open,,,,6
DH000192,PET000192,CL000169,9.32,Void,2025-02-15,2025-02-21,Open,,,,6
DH000193,PET000193,CL000100,77.03,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000194,PET000194,CL000153,40.94,Void,2025-02-15,2025-02-21,Open,,,,6
DH000195,PET000195,CL000022,64.78,Cancelled,2025-02-15,2025-02-21,Open,,,,6
DH000001,PET000001,CL000029,3.11,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000002,PET000002,CL000155,2.39,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Already Processed,11
DH000003,PET000003,CL000179,21.12,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000004,PET000004,CL000032,175.71,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000005,PET000005,CL000075,271.06,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000006,PET000006,CL000019,58.57,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000007,PET000007,CL000197,61.46,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000008,PET000008,CL000036,32.46,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000009,PET000009,CL000029,16.41,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000010,PET000010,CL000003,55.74,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000011,PET000011,CL000068,252.39,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000012,PET000012,CL000001,29.55,Void,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000013,PET000013,CL000018,206.55,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000014,PET000014,CL000177,22.48,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH002,Refund Processed,10
DH000015,PET000015,CL000057,7.22,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000016,PET000016,CL000147,19.73,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000017,PET000017,CL000166,4.32,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000018,PET000018,CL000141,6.7,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000019,PET000019,CL000098,4.21,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,No Refund Due,13
DH000020,PET000020,CL000125,21.88,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000021,PET000021,CL000136,48.43,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH002,Refund Processed,13
DH000022,PET000022,CL000021,33.35,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000023,PET000023,CL000193,101.87,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000024,PET000024,CL000063,16.32,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000025,PET000025,CL000035,45.59,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH002,Refund Processed,9
DH000026,PET000026,CL000126,46.33,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000027,PET000027,CL000181,10.4,Void,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000028,PET000028,CL000079,47.32,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000029,PET000029,CL000105,249.9,Void,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000030,PET000030,CL000106,93.2,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000031,PET000031,CL000090,41.82,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000032,PET000032,CL000103,92.18,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000033,PET000033,CL000089,65.69,Void,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000034,PET000034,CL000185,247.41,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000035,PET000035,CL000171,26.1,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000036,PET000036,CL000074,41.43,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH002,No Refund Due,11
DH000037,PET000037,CL000189,13.4,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH002,Refund Processed,10
DH000038,PET000038,CL000063,222.26,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000039,PET000039,CL000177,7.63,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000040,PET000040,CL000032,42.06,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH002,No Refund Due,13
DH000041,PET000041,CL000130,46.28,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,No Refund Due,12
DH000042,PET000042,CL000125,63.74,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000043,PET000043,CL000105,28.64,Void,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000044,PET000044,CL000091,25.61,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000045,PET000045,CL000104,92.03,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000046,PET000046,CL000110,4.89,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,No Refund Due,13
DH000047,PET000047,CL000065,73.52,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Already Processed,10
DH000048,PET000048,CL000064,10.82,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH002,Refund Already Processed,9
DH000049,PET000049,CL000184,8.28,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,No Refund Due,10
DH000050,PET000050,CL000051,7.06,Void,2025-02-15,2025-02-28,Awaiting Other Department,,,,13
DH000051,PET000051,CL000011,27.14,Void,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000052,PET000052,CL000118,71.78,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH002,Refund Processed,13
DH000053,PET000053,CL000023,28.04,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000054,PET000054,CL000067,45.21,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000055,PET000055,CL000166,72.41,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000056,PET000056,CL000191,24.08,Void,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000057,PET000057,CL000190,38.99,Void,2025-02-15,2025-02-28,Completed,2025-02-27,DH001,Refund Processed,12
DH000058,PET000058,CL000182,20.98,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH002,Refund Processed,9
DH000059,PET000059,CL000073,27.62,Void,2025-02-15,2025-02-28,Completed,2025-02-26,DH002,Refund Processed,11
DH000060,PET000060,CL000014,42.45,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000061,PET000061,CL000199,28.03,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH002,Refund Processed,9
DH000062,PET000062,CL000055,13.26,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH002,Refund Processed,11
DH000063,PET000063,CL000073,72.71,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000064,PET000064,CL000019,8.03,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000065,PET000065,CL000127,33.93,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000066,PET000066,CL000006,234.46,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH002,Refund Processed,13
DH000067,PET000067,CL000126,194.01,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000068,PET000068,CL000010,22.59,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,Refund Processed,9
DH000069,PET000069,CL000093,74.93,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH002,Refund Processed,11
DH000070,PET000070,CL000062,65.54,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-26,DH001,Refund Processed,11
DH000071,PET000071,CL000131,70.78,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-25,DH002,Refund Processed,10
DH000072,PET000072,CL000198,70.75,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-24,DH001,No Refund Due,9
DH000073,PET000073,CL000039,29.38,Void,2025-02-15,2025-02-28,Completed,2025-02-24,DH002,Refund Processed,9
DH000074,PET000074,CL000199,22.73,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000075,PET000075,CL000113,9.15,Void,2025-02-15,2025-02-28,Completed,2025-02-25,DH001,Refund Processed,10
DH000076,PET000076,CL000085,92.97,Void,2025-02-15,2025-02-28,Completed,2025-02-28,DH001,Refund Processed,13
DH000077,PET000077,CL000074,249.36,Cancelled,2025-02-15,2025-02-28,Completed,2025-02-28,DH002,Refund Processed,13
DH000078,PET000078,CL000092,15.83,Void,2025-02-15,2025-02-28,Completed,2025-02-27,DH002,Refund Processed,12
